question,answer
i switched from pasta to potatoes.,why did you do that?
What is your name?,bot
tv news is so stupid.,they shouldn't even call it news.
i think that i might.,good! i just thought i'd let you know.
you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
"No, I always back up my files.",You're smart.
"yes, it is.",it looks like it may rain soon.
i'm so full i'm going to burst.,you should loosen your belt.
i mixed them together.,"if the coffee still tastes okay, that's a good idea."
What can I do for you?,I would like to cancel a check.
that is a beautiful house.,i don't like it.
"i read it once, and i subscribed.",it gives you all the news.
you don't need to worry about that.,that was mean to say.
all i get is a black screen.,what's the matter?
Where do you want to meet?,Let's meet at Summer Pizza House. 
What kind of favor?,Can you write a recommendation letter for me?
so has everyone else.,nothing seems to work.
Have you been under a lot of stress lately?,"I just lost my job, and I am unsure about being able to find another one."
"i understand, i guess.",sorry about that.
he shouldn't scuba dive until he retires.,but he dives to relax.
of course. did you?,"i didn't want to, so i didn't."
Did this come on suddenly?,It started yesterday.
people take care of their lawns.,no rusty old cars are sitting in the front yards.
i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
they're best when they're hot.,my brother is allergic to peanuts.
"no, please tell me.",someone punched out someone.
What does that mean?,The UCs will randomly select 10% of their applicants to provide proof of their extracurriculars. 
of course you can.,i don't have enough will power.
obama's got four years to make everyone happy.,he's never going to make everyone happy.
you're supposed to stay home all day.,that's what i do.
I'll go today.,Make sure you get a good seat.
they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.
i guess so.,god bless modern medicine.
what's going on?,nothing really. how about you?
i think he is from outer space.,no human could possibly play golf that well.
i'm upset with my mom.,why is that?
that's what i'm going to do.,are you going to wash it yourself?
we need to save money.,why do we need to save money?
i love baseball.,so do i.
no. movie stars give him money to give to homeless people.,how much money does he give away?
"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
"that was a great trip to washington, d.c.","tell me about it, dad."
everybody loves pizza.,so why can't i have pizza for dinner?
"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
"i would really appreciate that, thanks.",it's no trouble at all.
they say they want change.,what kind of change?
they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
how are you going to do that?,i'll just use the atm.
this steak has too much fat.,what do you want the waiter to do?
How are you feeling?,I am feeling exited
who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
But there is only one space left.,That is terrible
not that i've noticed.,"well, maybe it's from the pollution in the air."
what will you do?,i will play the radio as loud as i want.
Where do they sell both at?,They sell pizza and burgers at the cafeteria.
"Well,you don't really have a choice at this point",Why is the printer line so long?
"well, he's made a few changes.",like what?
Going to do a little shopping?,"Yeah, I have to buy some presents for my parents."
we'd better get ready to go.,it's an upstairs unit.
i have to go shopping today.,you'd better take an umbrella.
babies cry all the time.,you have to change their diapers.
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
what happened before?,my hard drive crashed.
no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
"Hello,is this the Smith residence?",David!Clean your room.It is filthy!
i would've thought that somebody would have told you.,"no, i had no idea."
have you heard something that you're not telling me?,what do you mean?
so go then.,i really don't want to go by myself.
plus installation?,"no, my hard drive is easy to remove and replace."
When do you need another recommendation letter by?,I need one by this Friday.
What did he write?,Just that I'm a diligent student who does well.
"what does she look like, though?",she has pretty light brown eyes.
How are you doing?,I am doing fine
why not? everyone knows he's a firebug. he loves to start fires.,i don't know. sometimes the law doesn't make sense.
"never better, thanks.",so how have you been lately?
Do you need any directions?,"No, thanks. I already drove by to see what the neighborhood looks like."
i don't understand.,"if you pour water into a glass, the water goes down into the glass."
three packs of what?,"cigarettes, of course."
i need a job.,what was your last job?
i know that.,so why are you arguing with me? don't lie in the sun too long!
i think that it's going to rain.,i hope that it does rain.
occasionally.,when's that?
i'll try.,check your tires or you'll get a flat.
"hello, may i speak to alice please?",this is she. how's it going?
Did you gain any weight?,"Yeah,I just wear big clothes to hide my fat."
"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
You can check out educational videos for free.,This is bogus.
a ham sandwich.,the bread is in the cabinet.
What did you do?,I watered all the plants.
i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
this sunday?,of course. it's all over the news.
"But how about the time?I mean, applying is a lot of work.",College applications ask similar questions.
i'm watching you.,i'm an open book. watch me all you want.
you're yawning.,i sure am.
"it's not too much, only about $85.",plus installation?
What's for dinner tonight?,I'm not making anything.
Where did you go to have the picnic?,"It was Nandan Park, the biggest amusement park in Bangladesh."
i eat the same thing every day.,you're kidding.
where does cheese come from?,it comes from cows.
yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
that sucks. did you want the assignments from english class?,"that would be nice, thank you."
last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
because you don't want to smell bad.,i don't smell bad.
my husband died.,i'm sorry for you.
"i mean, it's just coffee.",i figured that.
"and when elected, they go their own way.",they forget who put them in power.
Have you ever tried doing relaxation exercises before you go to bed?,"I haven't ever tried that, but it sounds like a good idea."
But I don't even need it!,It is been like this for ages.
three pounds just this month.,do you know why?
are you going to be there?,i don't think so.
Do you already have an account with us?,I have another savings account open already.
"no, thanks, maybe another time.","okay, sounds good."
no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
That's convenient.,Absolutely.
i'll talk to you later.,what's the rush?
it only took about two hours.,did you take pictures at the world war ii monument?
what movie are you going to see?,i'm not sure yet. is there something you want to see?
that's a lot of money.,but the house is so nice.
just ask her out to dinner.,and then what?
he apologized to the fans.,the league suspended him for 50 games.
"Alright then,let us get going.",This is going to take forever.
it's the best job i've ever had.,what makes it so good?
I'm planning to teach English in underprivileged countries.,That is really kind of you.
did the cat bite you?,no. the bedbugs in that mattress bit me.
i don't know.,it looks like blood.
"Fine,I'll give you a $1.",You won't regret it!The book is really good.
Hi Steve. What are you doing here?,I'm meeting a friend here for dinner. 
Baseball is fun.,I like to hit the ball.
and there was no violence.,people today don't like that.
i don't know how that store makes money.,"neither do i, but they're doing something right."
i first learned how to do it in high school.,did you take some sort of art class or something?
May I do anything else for you?,I would also like to check out these books.
that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
is it almost impossible to be rich and successful without a college degree?,Look at Steve Jobs!He dropped out of college.
to the grand canyon?,yes. i've never been there.
someone who slips could hurt their back.,they could even crack their head open.
will you lose all your files?,"no, i always back up my files."
i would never want to be president.,but think about all the power you'd have.
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
is it new?,it was new in 2003.
Did you do the laundry?,"Yes, I did."
it's the law. they can't keep him in jail forever.,why not? everyone knows he's a firebug. he loves to start fires.
how do you know?,the tv news is reporting a bank robbery.
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
only 15 percent of the voters turned out.,that is a joke.
where did you park it?,i parked it right here.
"well, he can enjoy it while it lasts.",i don't think he even got paid for it.
yes?,see those stains?
get better.,thanks a lot.
What did you enjoy there?,I enjoyed 10 rides only.
"no, it's a taste you have to get used to.",sort of like beer.
tell me about it.,a gardening show follows a knitting show.
"it hurts, too.",paper cuts can hurt a lot.
all the radios will be on extra loud.,your neighbors will hate you.
"I dropped my wallet,and didn't notice,She took it to me.","Well,ask her out tomorrow,or somebody will."
really?,yes. you really deserved this.
so why are we selling our house?,they're building a 3-story apartment building on the corner.
tiger is the greatest golfer in the world.,you can say that again.
you have no idea how happy i am for you.,for real?
is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!
maybe i left the burner on.,"no, you didn't. i checked the stove before we left."
or artists.,they're in a different world.
but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
do you take good care of it?,"oh, yes. i wash it once a week."
why would i date someone i don't even know?,to try something new and exciting.
We should get to know each other.,I don't think so.I like keeping to myself.
it was tomato soup.,that tasted so good.
i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.
i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
then why does everyone lock their doors?,i guess they haven't read this article.
i didn't know you had a gun.,everyone in america should have a gun.
was he smoking?,"yes, he was smoking a cigarette."
there are so many great players.,"yes, but who is the greatest?"
i don't like that man.,why not?
i'm going to take five wipes.,what do you need five of them for?
Do you really not have 20 cents?,"I do,but I'm really cheap."
forget it. go straight.,then what?
"basically, i've been working too.","well whatever, i'm glad you came."
don't be ridiculous.,what do you mean?
how long have you known how to do that?,i first learned how to do it in high school.
"no, i haven't. why?",i really want to go to the movies this weekend.
no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
What do you do there?,"Everyone does different things,I organize events."
yelling doesn't do any good.,no. the best thing to do is just stay home.
when are we going to stop?,we'll stop at the next mcdonald's.
"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
"Good luck,You'll be waiting here for a long time.",I bet the ink and paper will go out.
"yes, the workers are very polite.",and they're clean.
and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
"There is a lot,so it is all about picking what suits your needs.","For starters,I would like a university in a safe area."
"yes, a thrift shop has that same smell.","yes, an old smell."
i especially love the night air when it rains.,really? why?
Great!You're so helpful.,It is my job to be helpful.
Is that all I can do for you today?,I won't be needing anything else.
what was your last job?,i was a painter.
let's go to your home.,we can watch my dvd.
You should come with me.Our college has great workshops.,I don't want to look stupid.
what are you going to do?,i sent them an email asking for my money back.
"yes, i am really excited.",that's great. congratulations.
Which ones are you applying to?,"CSULA,UC Irvine,Yale."
will you be able to make it?,i'm busy this friday. i'm sorry.
This is so stressful.,I advise writing a letter to the dean.
i've really been working a lot lately.,i've been pretty busy myself.
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
"you should have, but have you seen any movies lately?",that was an odd change of subject.
What kind of car insurance do you have?,I went with the Automobile Club.
How may I help you?,I need to make a deposit.
eight.,they're all so cute.
Is it for a school project?,"Yes,I'm doing an essay on the life of a tiger."
that's true. it is a very funny movie.,you've seen it before? 
i'm going to the bank.,what do you need to do?
it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
your daddy was a good little boy.,"how do you know? were you his mommy, too?"
the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
i can't believe how hot it is.,it's not even noon yet.
How are you today?,Very well.
I can cancel it for you right now.,Thank you so much.
How much?,I want to transfer $200.
i shook it. there is no more ink.,you can borrow mine.
and he's really smart.,he will solve our problems.
i'm a good card player.,why is that?
i like this hotel.,what do you like about it?
but i need something that's reliable.,you need a car with low mileage.
you still miss him.,"yes, but i talk to him almost every day."
i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
What do you want to eat for breakfast?,All I usually have is some python codes for breakfast.
it's not orange!,your orange isn't orange?
you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?
"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?"
i'd rather be cold than hot.,me too.
"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.
people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
is he a rare case?,Watch me prove you wrong.
"so do i, like ""she loves you.""","""she loves you, yeah, yeah, yeah!..."""
what's the matter with it?,it's too much like other flags.
You should be thankful I care so much about your education.,"The truth is,I didn't hear the alarm clock."
Where do you want to go?,Let us go for a drink at the bar where we went last week.
with what?,i'm taking a math course in school.
but i do all my writing with my right hand.,start typing instead. that way your left hand will do half the work.
it's not too bitter for you?,"it's a little bitter, but it's okay."
they have interesting lawsuits.,such as?
i need to withdraw some money.,how are you going to do that?
but a cop might stop you.,"no, he won't. some cars are doing 85."
How much?,I only want to transfer $100.
don't use water on it!,i'll use a damp cloth.
You never know what might happen on these freeways.,There's at least one huge accident every day.
that would be weird.,"yeah, especially since it's ninety degrees outside."
Why do you like it?,Because it has great teachers.
Hello,"hello, how may I help you?"
what would you like to see?,"oh, i don't care. you're the one who wants to go out."
How much would you like to deposit?,It's going to be $300.
why are you yawning?,i'm sleepy.
i must not use this finger until the cut heals.,it might take a day or two to heal.
no more homework.,i hate homework.
and watch your dvd.,i always cry at the end.
what do you mean?,there were more votes than voters!
"Hello, my name is David It's nice to meet you.","Hi, I'm Jenny. It's my please to meet you."
i watered all the plants.,you have a lot of plants.
"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
you're very lucky.,why do you say that?
that sounds like a good spot.,we watch people walk by with their dogs.
What are you going to have for breakfast?,I just have some cereal each morning.
You must be kidding.,"No, I'm not. It's March. Time is running out. Seats are selling out right now."
"yes, he did. his cat died, too.",that's too bad. what about his smoke alarm?
that's a switch.,"i'm serious, have you?"
i hope that it does rain.,you like the rain?
You can try taking it at another college.,I might do that.The closest community college is a two-hour drive.
"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you."
"well, it's really none of your business.",that's harsh.
But I really need a 4.0 GPA.,You get what you deserve.
the neighbors don't party on the weekends.,people take care of their lawns.
What can I do for you today?,I would like to deposit some money.
those are nice. what are they?,these are some chucks.
i don't know. sometimes the law doesn't make sense.,but his latest fire killed someone.
My name is Charlie.,"Nice to meet you,Charlie."
i did.,what's wrong with them so soon?
But this college is so awesome?,"I know,but I really miss home."
he thinks i have too much stress.,stress causes your stomachaches?
How are you doing?,Great. Thanks.
what do you mean?,i can't get a single channel.
working.,"i would've come to see you sooner, but i've been busy too."
not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
of course.,when is he coming?
"yes, it's just a couple of screws.",that's nice.
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
can i try your coffee?,sure. here you go.
i forgot.,sunday means we go to church.
$140. i can't believe it.,what are you talking about?
that sounds like a nice date.,"yes, it was pleasant."
I'll see you later then,Bye! I'll be back.
but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
maybe you just need to go to the bathroom.,"no, that's not the problem."
who cares? everyone is strange.,that's for sure.
Don't worry.I'll probably come back with 5 more books.,It is great to see a kid excited about reading.
i will.,"oh, look. here's another shirt just like it."
oh.,"i apologized to her, but i could tell she was still upset."
How much?,I wrote the check out for $150.
May I help you?,I would like to return this book.
i thought about getting out and taking a taxi home.,what happened at the restaurant?
did you get your official sample ballot?,"yes, with the voter instructions."
So we have to be at the airport at 10:15.,That means we have to leave the house at 9:15.
what's the weather like?,let me step outside and see.
use a tissue next time.,i didn't have a tissue.
you never know what might happen on these freeways.,there's at least one huge accident every day.
"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
i'll go.,i hope that i'll see you there.
How are things with you?,I'm fine. Thank you.
i haven't decided yet.,more and more people are using macs.
but what can you do?,you can yell at them.
sure. why not?,because food and other stuff sticks in my beard.
"the island is so green, and the water is so blue.",did you go swimming?
i was busy the whole day.,so was i.
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
i bought some stock.,everybody buys stock.
"up to $200 for each gun, no questions asked.",why are they doing this?
i hope god didn't hear that.,he'll forgive me.
it smells so bad.,one cigarette stinks up the whole sidewalk.
i'll just use the atm.,what's that?
how much money does he give away?,"this year he gave away $15,000."
i liked it.,"i'll give you a speech like that, too."
and then will she look normal again?,i guess so.
how much is it?,it's one dollar for 100 minutes.
why haven't you answered the phone?,"my bad, i had chores to do."
Why don't you come over here and we can work out the details of the purchase?,I don't think that this is the car for me at this point in time.
i'm not ready to get off the phone with you.,there are other things i need to take care of.
it seems that it may rain today.,hopefully it will.
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
Hi,how may I help you?
Why are you taking so long?Is something wrong?,"Sorry,my bag of chips got stuck."
I would like to purchase the book for Sociology,May I see your student ID?
they want tax cuts.,why do they want tax cuts?
i'm having a party this friday.,"oh, really? that's nice."
i like to slide into the bases.,yeah. it's a lot of fun to slide.
"well, that's between 2:00 and 4:00 a.m.",where are all these people going?
"It is only offered once a year,so I have to take it now.","I hope the class is interesting,at least."
i was going to be a doctor.,what happened to your plans?
i missed you too.,why haven't you tried to come see me then?
they're behind the outfield.,maybe we can catch a home run ball.
"yes, they are.",did you double-check your nose and teeth?
What if you lose the books?,I won't.I swear on my life.
how did he do it?,it was nothing for him.
i called hp about my computer.,what did they say?
i'm busy this friday. i'm sorry.,what do you have to do?
what happened?,the man fell asleep.
to try something new and exciting.,what if i don't like her?
"yes, i looked there, too.",don't we have about five sharpeners?
Did you move in yet?,"Yes,I have an apartment nearby."
what's the point?,now he has the world record!
i didn't think you saw that movie.,i went to see it the day it came out.
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
"but, mom!",you can watch tv after you do your homework.
of course! people everywhere like good jokes.,what do you think people joke about the most?
can i pick you up friday night?,what time?
rude people are everywhere.,but what can you do?
perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
What can I do for you?,I need to withdraw some money.
i would if i had the money.,why is it so slow?
why would he do that?,did he set a new record?
are you sure?,of course i'm sure.
